age,educational-num,fnlwgt,capital-gain,capital-loss,hours-per-week,education,marital-status,occupation,income,relationship,workclass,native-country,gender,race
25,7,226802,0,0,40,1,4,6,0,3,2,38,1,2
38,9,89814,0,0,50,11,2,4,0,0,2,38,1,4
28,12,336951,0,0,40,7,2,10,1,0,1,38,1,4
44,10,160323,7688,0,40,15,2,6,1,0,2,38,1,2
34,6,198693,0,0,30,0,4,7,0,1,2,38,1,4
63,15,104626,3103,0,32,14,2,9,1,0,4,38,1,4
24,10,369667,0,0,40,15,4,7,0,4,2,38,0,4
55,4,104996,0,0,10,5,2,2,0,0,2,38,1,4
65,9,184454,6418,0,40,11,2,6,1,0,2,38,1,4
36,13,212465,0,0,40,9,2,0,0,0,0,38,1,4
26,9,82091,0,0,39,11,4,0,0,1,2,38,0,4
48,9,279724,3103,0,48,11,2,6,1,0,2,38,1,4
43,14,346189,0,0,50,12,2,3,1,0,2,38,1,4
20,10,444554,0,0,25,15,4,7,0,3,5,38,1,4
43,9,128354,0,0,30,11,2,0,0,5,2,38,0,4
37,9,60548,0,0,20,11,6,6,0,4,2,38,0,4
34,13,107914,0,0,47,9,2,12,1,0,2,38,1,4
34,10,238588,0,0,35,15,4,7,0,3,2,38,0,2
25,13,220931,0,0,43,9,4,9,0,1,2,28,1,4
25,13,205947,0,0,40,9,2,9,0,0,2,38,1,4
45,9,432824,7298,0,90,11,2,2,1,0,4,38,1,4
22,9,236427,0,0,20,11,4,0,0,3,2,38,1,4
23,9,134446,0,0,54,11,5,6,0,4,2,38,1,2
54,9,99516,0,0,35,11,2,2,0,0,2,38,1,4
32,10,109282,0,0,60,15,4,9,0,1,4,38,1,4
46,10,106444,7688,0,38,15,2,3,1,0,5,38,1,2
56,7,186651,0,0,50,1,6,7,0,4,4,38,0,4
24,13,188274,0,0,50,9,4,11,0,1,4,38,1,4
23,10,258120,0,0,40,15,2,10,0,0,1,38,1,4
26,9,43311,0,0,40,11,0,3,0,4,2,38,0,4
36,13,403681,0,0,40,9,2,9,1,0,1,38,1,4
22,3,248446,0,0,50,4,4,8,0,1,2,12,1,4
17,6,269430,0,0,40,0,4,6,0,1,2,38,1,4
20,9,257509,0,0,40,11,4,2,0,3,2,38,1,4
65,14,136384,0,0,50,12,2,9,1,0,2,38,1,4
44,11,120277,0,0,45,8,2,11,1,0,3,38,1,4
36,9,465326,0,0,40,11,2,4,0,0,2,38,1,4
29,7,103634,0,0,40,1,2,7,0,0,2,38,1,4
20,10,138371,0,0,32,15,4,4,0,3,5,38,1,4
28,11,242832,0,0,36,8,2,9,1,5,2,38,0,4
39,4,290208,0,0,40,5,2,2,0,0,2,25,1,4
54,10,186272,3908,0,50,15,2,13,0,0,2,38,1,4
52,7,201062,0,0,18,1,5,8,0,1,2,38,0,2
56,9,131916,0,0,50,11,6,3,0,1,3,38,0,4
18,10,54440,0,0,20,15,4,7,0,3,2,38,1,4
39,9,280215,0,0,40,11,0,5,0,3,2,38,1,2
21,10,214399,0,1721,24,15,4,7,0,3,2,38,0,4
22,9,54164,14084,0,60,11,4,7,1,1,2,38,1,4
38,5,219446,0,0,54,6,3,3,0,1,2,25,1,4
21,10,110677,0,0,40,15,4,0,0,3,2,38,0,4
63,9,145985,0,0,40,11,2,2,0,0,2,38,1,4
34,13,382078,3103,0,50,9,2,3,1,0,1,38,1,4
42,9,170721,5178,0,50,11,2,3,1,0,3,38,1,4
33,9,269705,0,0,40,11,2,5,0,0,2,38,1,4
30,13,101135,0,0,50,9,4,3,0,1,2,38,0,4
39,10,118429,0,0,40,15,0,11,0,1,2,38,1,4
26,14,31208,0,0,40,12,4,3,0,1,2,38,0,4
33,9,281384,0,0,40,11,4,6,0,3,2,38,0,4
47,9,171807,0,0,40,11,0,0,0,1,1,38,0,4
41,12,445382,15024,0,60,7,2,2,1,0,3,38,1,4
19,10,105460,0,0,20,15,4,7,0,3,2,38,1,4
46,9,170338,0,0,40,11,5,13,0,1,2,38,1,4
43,9,102606,0,0,48,11,2,11,0,0,2,38,1,4
55,10,323887,15024,0,45,15,2,3,1,0,2,38,1,4
46,11,175622,0,0,40,8,2,12,0,0,2,38,1,4
30,9,229636,0,0,40,11,2,6,0,0,2,25,1,4
21,10,388946,0,0,40,15,5,5,0,1,2,38,0,4
46,10,269034,0,0,40,15,2,2,0,0,2,5,1,3
41,9,75012,0,0,50,11,2,6,0,0,2,38,1,4
69,9,174379,0,0,30,11,2,11,0,0,3,38,1,4
50,9,312477,0,0,40,11,2,13,0,0,2,38,1,4
20,10,72055,0,0,40,15,4,0,0,1,2,38,0,4
45,10,67001,0,0,50,15,2,6,0,0,3,38,1,4
23,13,213734,0,0,40,9,4,3,0,1,2,38,1,4
24,10,83141,0,1876,40,15,5,7,0,1,2,38,1,4
31,10,113752,0,0,50,15,2,2,0,0,4,38,1,4
43,9,170482,0,0,44,11,5,6,0,1,2,38,0,4
20,7,244689,0,0,10,1,4,7,0,3,0,38,0,4
55,9,160631,0,0,56,11,2,11,1,0,2,38,1,4
24,10,228724,0,0,40,15,4,1,0,1,0,38,1,4
59,13,292946,0,0,25,9,4,3,0,1,2,38,0,4
49,4,77443,0,0,20,5,4,7,0,1,0,38,1,2
33,14,176410,5178,0,10,12,2,9,1,5,2,38,0,4
59,13,98984,0,0,40,9,0,0,0,1,0,38,1,4
34,14,198751,0,0,40,12,4,7,0,1,2,38,1,0
20,9,479296,0,0,40,11,4,5,0,3,2,38,1,4
25,13,235218,0,0,40,9,4,3,0,3,2,38,0,4
49,6,164877,0,0,40,0,2,4,0,0,2,38,1,4
59,9,272087,0,0,40,11,2,13,1,0,2,38,1,4
20,9,169699,0,0,40,11,4,0,0,1,2,38,0,4
33,10,202191,0,0,35,15,4,0,0,4,2,38,0,2
22,10,212261,0,0,39,15,4,13,0,3,2,38,1,2
58,5,301568,0,0,40,6,6,7,0,1,4,38,0,4
52,9,155233,0,0,28,11,6,0,0,4,1,38,0,4
36,6,75826,0,0,40,0,5,6,0,1,2,38,0,4
41,9,201520,0,0,40,11,2,10,0,0,1,38,1,4
28,9,154236,2597,0,40,11,4,13,0,3,2,38,1,4
19,10,289227,0,0,16,15,4,5,0,3,2,38,1,2
18,9,217439,0,0,28,11,4,7,0,1,2,38,0,4
18,9,179020,0,0,48,11,4,6,0,3,2,38,0,4
28,10,149624,0,0,40,15,2,2,0,0,2,38,1,4
29,11,337266,0,0,40,8,2,3,1,0,2,38,1,4
40,10,103541,0,0,40,15,2,5,0,0,2,38,1,4
26,9,206721,0,0,40,11,4,5,0,4,2,38,1,4
46,9,96773,0,0,40,11,2,2,0,0,2,38,1,4
23,7,200967,0,0,24,1,4,7,0,1,2,38,0,4
44,9,180019,0,0,40,11,3,0,0,4,2,38,0,4
43,13,179866,0,0,40,9,0,11,1,4,2,38,0,4
31,13,198770,0,0,60,9,0,9,0,4,1,38,0,4
18,10,219256,0,0,25,15,4,11,0,3,2,38,0,4
19,10,248730,0,0,30,15,4,10,0,3,2,38,1,4
41,10,110732,0,0,40,15,0,12,0,1,2,38,0,4
41,9,181020,0,0,40,11,0,5,0,4,2,38,0,4
69,9,183791,0,0,25,11,0,0,0,1,2,38,0,4
48,16,42972,0,0,40,10,2,9,1,5,0,38,0,4
28,9,134813,0,0,40,11,4,9,0,3,2,38,1,4
27,9,115438,0,0,60,11,2,2,1,0,4,20,1,4
41,14,239296,0,2415,50,12,2,9,1,0,2,38,1,4
41,10,428420,0,0,40,15,2,0,0,0,2,38,1,4
24,9,247846,0,0,40,11,4,2,0,4,2,38,0,2
42,16,100793,0,0,41,10,2,9,1,0,3,38,1,4
57,9,244478,0,0,48,11,2,2,0,0,2,38,1,2
30,12,142921,0,0,40,7,4,9,0,1,2,38,0,4
36,9,182863,0,0,60,11,2,11,1,0,2,38,1,4
49,4,171128,0,0,40,5,2,6,0,0,2,38,1,2
33,9,145402,0,0,35,11,2,6,0,5,2,38,0,4
23,6,306309,0,0,40,0,2,4,0,0,2,38,1,4
46,14,83822,0,0,40,12,2,9,0,0,2,38,1,4
18,10,262118,0,0,22,15,4,0,0,3,2,10,0,1
40,9,155972,7688,0,55,11,2,3,1,0,2,38,1,4
43,9,214503,0,1887,45,11,2,3,1,0,3,38,1,4
34,14,159303,0,0,30,12,4,9,0,3,2,38,0,4
47,9,174995,0,0,30,11,6,3,0,1,4,38,0,4
44,11,26669,0,0,30,8,6,3,0,4,2,38,0,4
33,9,177727,0,0,40,11,2,11,1,0,2,38,1,4
55,13,124771,15024,0,50,9,2,3,1,0,2,38,1,4
19,9,456736,2907,0,30,11,4,11,0,1,2,38,1,4
28,10,216604,0,0,14,15,4,7,0,1,2,38,1,2
27,7,221561,0,0,32,1,2,7,0,5,2,38,0,2
50,4,114564,0,0,20,5,2,6,0,0,2,38,1,4
22,7,315476,0,0,40,1,4,2,0,4,2,38,1,4
40,13,67874,0,1887,45,9,2,0,1,0,5,38,1,4
25,10,126110,0,0,40,15,4,0,0,3,2,38,0,4
26,9,102264,0,0,40,11,4,2,0,1,1,38,1,4
22,13,537222,0,0,25,9,4,11,0,1,2,38,1,4
42,10,113732,0,625,40,15,4,5,0,4,2,38,0,2
38,13,93225,0,0,40,9,0,3,0,1,3,38,1,4
55,7,43064,0,0,30,1,2,7,0,0,2,38,1,4
32,9,136921,0,0,40,11,2,11,0,0,2,38,1,4
22,9,388885,0,0,45,11,2,2,0,0,2,38,1,4
29,13,142249,0,0,40,9,4,11,0,3,2,38,1,4
46,14,56841,0,0,45,12,2,3,1,0,5,38,1,4
31,10,156493,0,0,40,15,2,3,1,0,2,38,1,4
58,16,159021,0,0,16,10,2,9,1,0,4,38,1,4
42,9,190910,0,0,45,11,2,2,0,0,2,38,1,4
18,9,41879,0,0,25,11,4,5,0,4,2,38,1,4
58,9,137249,0,0,33,11,0,3,0,1,1,38,1,4
54,9,236157,0,1887,40,11,2,9,1,0,2,38,1,4
34,14,189759,0,0,40,12,4,9,0,1,2,38,1,4
26,13,239877,0,0,40,9,4,0,0,1,2,38,0,4
